UF,Estado,Localidade,Faixa de CEP,CEP Inicial,CEP Final,Situação,Tipo de Faixa
AC,Acre,Acrelândia,69945-000 a 69949-999,69945000,69949999,Não codificada por logradouros,Total do município
AC,Acre,Assis Brasil,69935-000 a 69939-999,69935000,69939999,Não codificada por logradouros,Total do município
AC,Acre,Brasiléia,69932-000 a 69933-999,69932000,69933999,Não codificada por logradouros,Total do município
AC,Acre,Bujari,69926-000 a 69926-999,69926000,69926999,Não codificada por logradouros,Total do município
AC,Acre,Capixaba,69931-000 a 69931-999,69931000,69931999,Não codificada por logradouros,Total do município
AC,Acre,Cruzeiro do Sul,69980-000 a 69981-999,69980000,69981999,Não codificada por logradouros,Total do município
AC,Acre,Epitaciolândia,69934-000 a 69934-999,69934000,69934999,Não codificada por logradouros,Total do município
AC,Acre,Feijó,69960-000 a 69969-999,69960000,69969999,Não codificada por logradouros,Total do município
AC,Acre,Jordão,69975-000 a 69979-999,69975000,69979999,Não codificada por logradouros,Total do município
AC,Acre,Mâncio Lima,69990-000 a 69999-999,69990000,69999999,Não codificada por logradouros,Total do município
AC,Acre,Manoel Urbano,69950-000 a 69954-999,69950000,69954999,Não codificada por logradouros,Total do município
AC,Acre,Marechal Thaumaturgo,69983-000 a 69984-999,69983000,69984999,Não codificada por logradouros,Total do município
AC,Acre,Plácido de Castro,69928-000 a 69929-999,69928000,69929999,Não codificada por logradouros,Total do município
AC,Acre,Porto Acre,69927-000 a 69927-999,69927000,69927999,Não codificada por logradouros,Total do município
AC,Acre,Porto Walter,69982-000 a 69982-999,69982000,69982999,Não codificada por logradouros,Total do município
AC,Acre,Rio Branco,69900-001 a 69924-999,69900001,69924999,Codificado por logradouros,Total do município
AC,Acre,Rio Branco,69900-001 a 69923-999,69900001,69923999,Codificada por logradouros,Exclusiva da sede urbana
AC,Acre,Rodrigues Alves,69985-000 a 69989-999,69985000,69989999,Não codificada por logradouros,Total do município
AC,Acre,Santa Rosa do Purus,69955-000 a 69959-999,69955000,69959999,Não codificada por logradouros,Total do município
AC,Acre,Sena Madureira,69940-000 a 69944-999,69940000,69944999,Não codificada por logradouros,Total do município
AC,Acre,Senador Guiomard,69925-000 a 69925-999,69925000,69925999,Não codificada por logradouros,Total do município
AC,Acre,Tarauacá,69970-000 a 69974-999,69970000,69974999,Não codificada por logradouros,Total do município
AC,Acre,Xapuri,69930-000 a 69930-999,69930000,69930999,Não codificada por logradouros,Total do município
AL,Alagoas,Água Branca,57490-000 a 57499-999,57490000,57499999,Não codificada por logradouros,Total do município
AL,Alagoas,Anadia,57660-000 a 57669-999,57660000,57669999,Não codificada por logradouros,Total do município
AL,Alagoas,Arapiraca,57300-001 a 57319-999,57300001,57319999,Codificado por logradouros,Total do município
AL,Alagoas,Arapiraca,57300-001 a 57317-999,57300001,57317999,Codificada por logradouros,Exclusiva da sede urbana
AL,Alagoas,Atalaia,57690-000 a 57699-999,57690000,57699999,Não codificada por logradouros,Total do município
AL,Alagoas,Barra de Santo Antônio,57925-000 a 57929-999,57925000,57929999,Não codificada por logradouros,Total do município
AL,Alagoas,Barra de São Miguel,57180-000 a 57199-999,57180000,57199999,Não codificada por logradouros,Total do município
AL,Alagoas,Batalha,57420-000 a 57424-999,57420000,57424999,Não codificada por logradouros,Total do município
AL,Alagoas,Belém,57630-000 a 57634-999,57630000,57634999,Não codificada por logradouros,Total do município
AL,Alagoas,Belo Monte,57435-000 a 57439-999,57435000,57439999,Não codificada por logradouros,Total do município
AL,Alagoas,Boca da Mata,57680-000 a 57689-999,57680000,57689999,Não codificada por logradouros,Total do município
AL,Alagoas,Branquinha,57830-000 a 57839-999,57830000,57839999,Não codificada por logradouros,Total do município
AL,Alagoas,Cacimbinhas,57570-000 a 57579-999,57570000,57579999,Não codificada por logradouros,Total do município
AL,Alagoas,Cajueiro,57770-000 a 57779-999,57770000,57779999,Não codificada por logradouros,Total do município
AL,Alagoas,Campestre,57968-000 a 57969-999,57968000,57969999,Não codificada por logradouros,Total do município
AL,Alagoas,Campo Alegre,57250-000 a 57254-999,57250000,57254999,Não codificada por logradouros,Total do município
AL,Alagoas,Campo Grande,57350-000 a 57359-999,57350000,57359999,Não codificada por logradouros,Total do município
AL,Alagoas,Canapi,57530-000 a 57534-999,57530000,57534999,Não codificada por logradouros,Total do município
AL,Alagoas,Capela,57780-000 a 57799-999,57780000,57799999,Não codificada por logradouros,Total do município
AL,Alagoas,Carneiros,57535-000 a 57539-999,57535000,57539999,Não codificada por logradouros,Total do município
AL,Alagoas,Chã Preta,57760-000 a 57769-999,57760000,57769999,Não codificada por logradouros,Total do município
AL,Alagoas,Coité do Nóia,57325-000 a 57329-999,57325000,57329999,Não codificada por logradouros,Total do município
AL,Alagoas,Colônia Leopoldina,57975-000 a 57979-999,57975000,57979999,Não codificada por logradouros,Total do município
AL,Alagoas,Coqueiro Seco,57140-000 a 57149-999,57140000,57149999,Não codificada por logradouros,Total do município
AL,Alagoas,Coruripe,57230-000 a 57239-999,57230000,57239999,Não codificada por logradouros,Total do município
AL,Alagoas,Craíbas,57320-000 a 57324-999,57320000,57324999,Não codificada por logradouros,Total do município
AL,Alagoas,Delmiro Gouveia,57480-000 a 57489-999,57480000,57489999,Não codificada por logradouros,Total do município
AL,Alagoas,Dois Riachos,57560-000 a 57569-999,57560000,57569999,Não codificada por logradouros,Total do município
AL,Alagoas,Estrela de Alagoas,57625-000 a 57629-999,57625000,57629999,Não codificada por logradouros,Total do município
AL,Alagoas,Feira Grande,57340-000 a 57349-999,57340000,57349999,Não codificada por logradouros,Total do município
AL,Alagoas,Feliz Deserto,57220-000 a 57229-999,57220000,57229999,Não codificada por logradouros,Total do município
AL,Alagoas,Flexeiras,57995-000 a 57999-999,57995000,57999999,Não codificada por logradouros,Total do município
AL,Alagoas,Girau do Ponciano,57360-000 a 57369-999,57360000,57369999,Não codificada por logradouros,Total do município
AL,Alagoas,Ibateguara,57890-000 a 57899-999,57890000,57899999,Não codificada por logradouros,Total do município
AL,Alagoas,Igaci,57620-000 a 57624-999,57620000,57624999,Não codificada por logradouros,Total do município
AL,Alagoas,Igreja Nova,57280-000 a 57289-999,57280000,57289999,Não codificada por logradouros,Total do município
AL,Alagoas,Inhapi,57545-000 a 57549-999,57545000,57549999,Não codificada por logradouros,Total do município
AL,Alagoas,Jacaré dos Homens,57430-000 a 57434-999,57430000,57434999,Não codificada por logradouros,Total do município
AL,Alagoas,Jacuípe,57960-000 a 57964-999,57960000,57964999,Não codificada por logradouros,Total do município
AL,Alagoas,Japaratinga,57950-000 a 57954-999,57950000,57954999,Não codificada por logradouros,Total do município
AL,Alagoas,Jaramataia,57425-000 a 57429-999,57425000,57429999,Não codificada por logradouros,Total do município
AL,Alagoas,Jequiá da Praia,57255-000 a 57256-999,57255000,57256999,Não codificada por logradouros,Total do município
AL,Alagoas,Joaquim Gomes,57980-000 a 57989-999,57980000,57989999,Não codificada por logradouros,Total do município
AL,Alagoas,Jundiá,57965-000 a 57967-999,57965000,57967999,Não codificada por logradouros,Total do município
AL,Alagoas,Junqueiro,57270-000 a 57274-999,57270000,57274999,Não codificada por logradouros,Total do município
AL,Alagoas,Lagoa da Canoa,57330-000 a 57339-999,57330000,57339999,Não codificada por logradouros,Total do município
AL,Alagoas,Limoeiro de Anadia,57260-000 a 57264-999,57260000,57264999,Não codificada por logradouros,Total do município
AL,Alagoas,Maceió,57000-001 a 57099-999,57000001,57099999,Codificado por logradouros,Total do município
AL,Alagoas,Maceió,57000-001 a 57099-999,57000001,57099999,Codificada por logradouros,Exclusiva da sede urbana
AL,Alagoas,Major Isidoro,57580-000 a 57599-999,57580000,57599999,Não codificada por logradouros,Total do município
AL,Alagoas,Mar Vermelho,57730-000 a 57739-999,57730000,57739999,Não codificada por logradouros,Total do município
AL,Alagoas,Maragogi,57955-000 a 57959-999,57955000,57959999,Não codificada por logradouros,Total do município
AL,Alagoas,Maravilha,57520-000 a 57524-999,57520000,57524999,Não codificada por logradouros,Total do município
AL,Alagoas,Marechal Deodoro,57160-000 a 57179-999,57160000,57179999,Não codificada por logradouros,Total do município
AL,Alagoas,Maribondo,57670-000 a 57679-999,57670000,57679999,Não codificada por logradouros,Total do município
AL,Alagoas,Mata Grande,57540-000 a 57544-999,57540000,57544999,Não codificada por logradouros,Total do município
AL,Alagoas,Matriz de Camaragibe,57910-000 a 57919-999,57910000,57919999,Não codificada por logradouros,Total do município
AL,Alagoas,Messias,57990-000 a 57994-999,57990000,57994999,Não codificada por logradouros,Total do município
AL,Alagoas,Minador do Negrão,57615-000 a 57619-999,57615000,57619999,Não codificada por logradouros,Total do município
AL,Alagoas,Monteirópolis,57440-000 a 57441-999,57440000,57441999,Não codificada por logradouros,Total do município
AL,Alagoas,Murici,57820-000 a 57829-999,57820000,57829999,Não codificada por logradouros,Total do município
AL,Alagoas,Novo Lino,57970-000 a 57974-999,57970000,57974999,Não codificada por logradouros,Total do município
AL,Alagoas,Olho D'Água das Flores,57442-000 a 57444-999,57442000,57444999,Não codificada por logradouros,Total do município
AL,Alagoas,Olho D'Água do Casado,57470-000 a 57474-999,57470000,57474999,Não codificada por logradouros,Total do município
AL,Alagoas,Olho D'Água Grande,57390-000 a 57399-999,57390000,57399999,Não codificada por logradouros,Total do município
AL,Alagoas,Olivença,57550-000 a 57559-999,57550000,57559999,Não codificada por logradouros,Total do município
AL,Alagoas,Ouro Branco,57525-000 a 57529-999,57525000,57529999,Não codificada por logradouros,Total do município
AL,Alagoas,Palestina,57410-000 a 57419-999,57410000,57419999,Não codificada por logradouros,Total do município
AL,Alagoas,Palmeira dos Índios,57600-001 a 57614-999,57600001,57614999,Codificado por logradouros,Total do município
AL,Alagoas,Palmeira dos Índios,57600-001 a 57609-999,57600001,57609999,Codificada por logradouros,Exclusiva da sede urbana
AL,Alagoas,Pão de Açúcar,57400-000 a 57409-999,57400000,57409999,Não codificada por logradouros,Total do município
AL,Alagoas,Pariconha,57475-000 a 57479-999,57475000,57479999,Não codificada por logradouros,Total do município
AL,Alagoas,Paripueira,57935-000 a 57939-999,57935000,57939999,Não codificada por logradouros,Total do município
AL,Alagoas,Passo de Camaragibe,57930-000 a 57934-999,57930000,57934999,Não codificada por logradouros,Total do município
AL,Alagoas,Paulo Jacinto,57740-000 a 57749-999,57740000,57749999,Não codificada por logradouros,Total do município
AL,Alagoas,Penedo,57200-000 a 57209-999,57200000,57209999,Não codificada por logradouros,Total do município
AL,Alagoas,Piaçabuçu,57210-000 a 57219-999,57210000,57219999,Não codificada por logradouros,Total do município
AL,Alagoas,Pilar,57150-000 a 57159-999,57150000,57159999,Não codificada por logradouros,Total do município
AL,Alagoas,Pindoba,57720-000 a 57729-999,57720000,57729999,Não codificada por logradouros,Total do município
AL,Alagoas,Piranhas,57460-000 a 57469-999,57460000,57469999,Não codificada por logradouros,Total do município
AL,Alagoas,Poço das Trincheiras,57510-000 a 57514-999,57510000,57514999,Não codificada por logradouros,Total do município
AL,Alagoas,Porto Calvo,57900-000 a 57909-999,57900000,57909999,Não codificada por logradouros,Total do município
AL,Alagoas,Porto de Pedras,57945-000 a 57949-999,57945000,57949999,Não codificada por logradouros,Total do município
AL,Alagoas,Porto Real do Colégio,57290-000 a 57299-999,57290000,57299999,Não codificada por logradouros,Total do município
AL,Alagoas,Quebrangulo,57750-000 a 57759-999,57750000,57759999,Não codificada por logradouros,Total do município
AL,Alagoas,Rio Largo,57100-000 a 57119-999,57100000,57119999,Não codificada por logradouros,Total do município
AL,Alagoas,Roteiro,57257-000 a 57259-999,57257000,57259999,Não codificada por logradouros,Total do município
AL,Alagoas,Santa Luzia do Norte,57130-000 a 57139-999,57130000,57139999,Não codificada por logradouros,Total do município
AL,Alagoas,Santana do Ipanema,57500-000 a 57509-999,57500000,57509999,Não codificada por logradouros,Total do município
AL,Alagoas,Santana do Mundaú,57840-000 a 57859-999,57840000,57859999,Não codificada por logradouros,Total do município
AL,Alagoas,São Brás,57380-000 a 57389-999,57380000,57389999,Não codificada por logradouros,Total do município
AL,Alagoas,São José da Laje,57860-000 a 57889-999,57860000,57889999,Não codificada por logradouros,Total do município
AL,Alagoas,São José da Tapera,57445-000 a 57459-999,57445000,57459999,Não codificada por logradouros,Total do município
AL,Alagoas,São Luís do Quitunde,57920-000 a 57924-999,57920000,57924999,Não codificada por logradouros,Total do município
AL,Alagoas,São Miguel dos Campos,57240-001 a 57249-999,57240001,57249999,Codificado por logradouros,Total do município
AL,Alagoas,São Miguel dos Campos,57240-001 a 57249-999,57240001,57249999,Codificada por logradouros,Exclusiva da sede urbana
AL,Alagoas,São Miguel dos Milagres,57940-000 a 57944-999,57940000,57944999,Não codificada por logradouros,Total do município
AL,Alagoas,São Sebastião,57275-000 a 57279-999,57275000,57279999,Não codificada por logradouros,Total do município
AL,Alagoas,Satuba,57120-000 a 57129-999,57120000,57129999,Não codificada por logradouros,Total do município
AL,Alagoas,Senador Rui Palmeira,57515-000 a 57519-999,57515000,57519999,Não codificada por logradouros,Total do município
AL,Alagoas,Tanque D'Arca,57635-000 a 57639-999,57635000,57639999,Não codificada por logradouros,Total do município
AL,Alagoas,Taquarana,57640-000 a 57659-999,57640000,57659999,Não codificada por logradouros,Total do município
AL,Alagoas,Teotônio Vilela,57265-000 a 57269-999,57265000,57269999,Não codificada por logradouros,Total do município
AL,Alagoas,Traipu,57370-000 a 57379-999,57370000,57379999,Não codificada por logradouros,Total do município
AL,Alagoas,União dos Palmares,57800-000 a 57819-999,57800000,57819999,Não codificada por logradouros,Total do município
AL,Alagoas,Viçosa,57700-000 a 57719-999,57700000,57719999,Não codificada por logradouros,Total do município
AM,Amazonas,Alvarães,69540-000 a 69549-999,69540000,69549999,Não codificada por logradouros,Total do município
AM,Amazonas,Amaturá,69620-000 a 69629-999,69620000,69629999,Não codificada por logradouros,Total do município
AM,Amazonas,Anamã,69445-000 a 69449-999,69445000,69449999,Não codificada por logradouros,Total do município
AM,Amazonas,Anori,69440-000 a 69444-999,69440000,69444999,Não codificada por logradouros,Total do município
AM,Amazonas,Apuí,69265-000 a 69279-999,69265000,69279999,Não codificada por logradouros,Total do município
AM,Amazonas,Atalaia do Norte,69650-000 a 69659-999,69650000,69659999,Não codificada por logradouros,Total do município
AM,Amazonas,Autazes,69240-000 a 69249-999,69240000,69249999,Não codificada por logradouros,Total do município
AM,Amazonas,Barcelos,69700-000 a 69729-999,69700000,69729999,Não codificada por logradouros,Total do município
AM,Amazonas,Barreirinha,69160-000 a 69179-999,69160000,69179999,Não codificada por logradouros,Total do município
AM,Amazonas,Benjamin Constant,69630-000 a 69639-999,69630000,69639999,Não codificada por logradouros,Total do município
AM,Amazonas,Beruri,69430-000 a 69434-999,69430000,69434999,Não codificada por logradouros,Total do município
AM,Amazonas,Boa Vista do Ramos,69195-000 a 69199-999,69195000,69199999,Não codificada por logradouros,Total do município
AM,Amazonas,Boca do Acre,69850-000 a 69859-999,69850000,69859999,Não codificada por logradouros,Total do município
AM,Amazonas,Borba,69200-000 a 69229-999,69200000,69229999,Não codificada por logradouros,Total do município
AM,Amazonas,Caapiranga,69425-000 a 69429-999,69425000,69429999,Não codificada por logradouros,Total do município
AM,Amazonas,Canutama,69820-000 a 69829-999,69820000,69829999,Não codificada por logradouros,Total do município
AM,Amazonas,Carauari,69500-000 a 69509-999,69500000,69509999,Não codificada por logradouros,Total do município
AM,Amazonas,Careiro,69250-000 a 69254-999,69250000,69254999,Não codificada por logradouros,Total do município
AM,Amazonas,Careiro da Várzea,69255-000 a 69259-999,69255000,69259999,Não codificada por logradouros,Total do município
AM,Amazonas,Coari,69460-000 a 69469-999,69460000,69469999,Não codificada por logradouros,Total do município
AM,Amazonas,Codajás,69450-000 a 69459-999,69450000,69459999,Não codificada por logradouros,Total do município
AM,Amazonas,Eirunepé,69880-000 a 69889-999,69880000,69889999,Não codificada por logradouros,Total do município
AM,Amazonas,Envira,69870-000 a 69879-999,69870000,69879999,Não codificada por logradouros,Total do município
AM,Amazonas,Fonte Boa,69670-000 a 69679-999,69670000,69679999,Não codificada por logradouros,Total do município
AM,Amazonas,Guajará,69895-000 a 69899-999,69895000,69899999,Não codificada por logradouros,Total do município
AM,Amazonas,Humaitá,69800-000 a 69819-999,69800000,69819999,Não codificada por logradouros,Total do município
AM,Amazonas,Ipixuna,69890-000 a 69894-999,69890000,69894999,Não codificada por logradouros,Total do município
AM,Amazonas,Iranduba,69415-000 a 69424-999,69415000,69424999,Não codificada por logradouros,Total do município
AM,Amazonas,Itacoatiara,69100-001 a 69113-999,69100001,69113999,Codificado por logradouros,Total do município
AM,Amazonas,Itacoatiara,69100-001 a 69109-999,69100001,69109999,Codificada por logradouros,Exclusiva da sede urbana
AM,Amazonas,Itamarati,69510-000 a 69519-999,69510000,69519999,Não codificada por logradouros,Total do município
AM,Amazonas,Itapiranga,69120-000 a 69129-999,69120000,69129999,Não codificada por logradouros,Total do município
AM,Amazonas,Japurá,69495-000 a 69499-999,69495000,69499999,Não codificada por logradouros,Total do município
AM,Amazonas,Juruá,69520-000 a 69529-999,69520000,69529999,Não codificada por logradouros,Total do município
AM,Amazonas,Jutaí,69660-000 a 69669-999,69660000,69669999,Não codificada por logradouros,Total do município
AM,Amazonas,Lábrea,69830-000 a 69849-999,69830000,69849999,Não codificada por logradouros,Total do município
AM,Amazonas,Manacapuru,69400-001 a 69414-999,69400001,69414999,Codificado por logradouros,Total do município
AM,Amazonas,Manacapuru,69400-001 a 69409-999,69400001,69409999,Codificada por logradouros,Exclusiva da sede urbana
AM,Amazonas,Manaquiri,69435-000 a 69439-999,69435000,69439999,Não codificada por logradouros,Total do município
AM,Amazonas,Manaus,69000-001 a 69099-999,69000001,69099999,Codificado por logradouros,Total do município
AM,Amazonas,Manaus,69000-001 a 69099-999,69000001,69099999,Codificada por logradouros,Exclusiva da sede urbana
AM,Amazonas,Manicoré,69280-000 a 69299-999,69280000,69299999,Não codificada por logradouros,Total do município
AM,Amazonas,Maraã,69490-000 a 69494-999,69490000,69494999,Não codificada por logradouros,Total do município
AM,Amazonas,Maués,69190-000 a 69194-999,69190000,69194999,Não codificada por logradouros,Total do município
AM,Amazonas,Nhamundá,69140-000 a 69149-999,69140000,69149999,Não codificada por logradouros,Total do município
AM,Amazonas,Nova Olinda do Norte,69230-000 a 69239-999,69230000,69239999,Não codificada por logradouros,Total do município
AM,Amazonas,Novo Airão,69730-000 a 69734-999,69730000,69734999,Não codificada por logradouros,Total do município
AM,Amazonas,Novo Aripuanã,69260-000 a 69264-999,69260000,69264999,Não codificada por logradouros,Total do município
AM,Amazonas,Parintins,69150-001 a 69159-999,69150001,69159999,Codificado por logradouros,Total do município
AM,Amazonas,Parintins,69150-001 a 69157-999,69150001,69157999,Codificada por logradouros,Exclusiva da sede urbana
AM,Amazonas,Pauini,69860-000 a 69869-999,69860000,69869999,Não codificada por logradouros,Total do município
AM,Amazonas,Presidente Figueiredo,69735-000 a 69739-999,69735000,69739999,Não codificada por logradouros,Total do município
AM,Amazonas,Rio Preto da Eva,69117-000 a 69119-999,69117000,69119999,Não codificada por logradouros,Total do município
AM,Amazonas,Santa Isabel do Rio Negro,69740-000 a 69749-999,69740000,69749999,Não codificada por logradouros,Total do município
AM,Amazonas,Santo Antônio do Içá,69680-000 a 69684-999,69680000,69684999,Não codificada por logradouros,Total do município
AM,Amazonas,São Gabriel da Cachoeira,69750-000 a 69799-999,69750000,69799999,Não codificada por logradouros,Total do município
AM,Amazonas,São Paulo de Olivença,69600-000 a 69619-999,69600000,69619999,Não codificada por logradouros,Total do município
AM,Amazonas,São Sebastião do Uatumã,69135-000 a 69139-999,69135000,69139999,Não codificada por logradouros,Total do município
AM,Amazonas,Silves,69114-000 a 69116-999,69114000,69116999,Não codificada por logradouros,Total do município
AM,Amazonas,Tabatinga,69640-000 a 69649-999,69640000,69649999,Não codificada por logradouros,Total do município
AM,Amazonas,Tapauá,69480-000 a 69484-999,69480000,69484999,Não codificada por logradouros,Total do município
AM,Amazonas,Tefé,69550-001 a 69559-999,69550001,69559999,Codificado por logradouros,Total do município
AM,Amazonas,Tefé,69550-001 a 69558-999,69550001,69558999,Codificada por logradouros,Exclusiva da sede urbana
AM,Amazonas,Tonantins,69685-000 a 69699-999,69685000,69699999,Não codificada por logradouros,Total do município
AM,Amazonas,Uarini,69530-000 a 69539-999,69530000,69539999,Não codificada por logradouros,Total do município
AM,Amazonas,Urucará,69130-000 a 69134-999,69130000,69134999,Não codificada por logradouros,Total do município
AM,Amazonas,Urucurituba,69180-000 a 69189-999,69180000,69189999,Não codificada por logradouros,Total do município
AP,Amapá,Amapá,68950-000 a 68959-999,68950000,68959999,Não codificada por logradouros,Total do município
AP,Amapá,Calçoene,68960-000 a 68972-999,68960000,68972999,Não codificada por logradouros,Total do município
AP,Amapá,Cutias,68973-000 a 68975-999,68973000,68975999,Não codificada por logradouros,Total do município
AP,Amapá,Ferreira Gomes,68915-000 a 68917-999,68915000,68917999,Não codificada por logradouros,Total do município
AP,Amapá,Itaubal,68976-000 a 68979-999,68976000,68979999,Não codificada por logradouros,Total do município
AP,Amapá,Laranjal do Jari,68920-000 a 68923-999,68920000,68923999,Não codificada por logradouros,Total do município
AP,Amapá,Macapá,68900-001 a 68914-999,68900001,68914999,Codificado por logradouros,Total do município
AP,Amapá,Macapá,68900-001 a 68911-999,68900001,68911999,Codificada por logradouros,Exclusiva da sede urbana
AP,Amapá,Mazagão,68940-000 a 68944-999,68940000,68944999,Não codificada por logradouros,Total do município
AP,Amapá,Oiapoque,68980-000 a 68989-999,68980000,68989999,Não codificada por logradouros,Total do município
AP,Amapá,Pedra Branca do Amaparí,68945-000 a 68947-999,68945000,68947999,Não codificada por logradouros,Total do município
AP,Amapá,Porto Grande,68997-000 a 68999-999,68997000,68999999,Não codificada por logradouros,Total do município
AP,Amapá,Pracuúba,68918-000 a 68919-999,68918000,68919999,Não codificada por logradouros,Total do município
AP,Amapá,Santana,68925-001 a 68939-999,68925001,68939999,Codificado por logradouros,Total do município
AP,Amapá,Santana,68925-001 a 68939-999,68925001,68939999,Codificada por logradouros,Exclusiva da sede urbana
AP,Amapá,Serra do Navio,68948-000 a 68949-999,68948000,68949999,Não codificada por logradouros,Total do município
AP,Amapá,Tartarugalzinho,68990-000 a 68996-999,68990000,68996999,Não codificada por logradouros,Total do município
AP,Amapá,Vitória do Jari,68924-000 a 68924-999,68924000,68924999,Não codificada por logradouros,Total do município
BA,Bahia,Abaíra,46690-000 a 46699-999,46690000,46699999,Não codificada por logradouros,Total do município
BA,Bahia,Abaré,48680-000 a 48699-999,48680000,48699999,Não codificada por logradouros,Total do município
BA,Bahia,Acajutiba,48360-000 a 48369-999,48360000,48369999,Não codificada por logradouros,Total do município
BA,Bahia,Adustina,48435-000 a 48439-999,48435000,48439999,Não codificada por logradouros,Total do município
BA,Bahia,Água Fria,48170-000 a 48179-999,48170000,48179999,Não codificada por logradouros,Total do município
BA,Bahia,Aiquara,45220-000 a 45224-999,45220000,45224999,Não codificada por logradouros,Total do município
BA,Bahia,Alagoinhas,48000-001 a 48107-999,48000001,48107999,Codificado por logradouros,Total do município
BA,Bahia,Alagoinhas,48000-001 a 48099-999,48000001,48099999,Codificada por logradouros,Exclusiva da sede urbana
BA,Bahia,Alcobaça,45910-000 a 45919-999,45910000,45919999,Não codificada por logradouros,Total do município
BA,Bahia,Almadina,45640-000 a 45644-999,45640000,45644999,Não codificada por logradouros,Total do município
BA,Bahia,Amargosa,45300-000 a 45304-999,45300000,45304999,Não codificada por logradouros,Total do município
BA,Bahia,Amélia Rodrigues,44230-000 a 44244-999,44230000,44244999,Não codificada por logradouros,Total do município
BA,Bahia,América Dourada,44910-000 a 44914-999,44910000,44914999,Não codificada por logradouros,Total do município
BA,Bahia,Anagé,45180-000 a 45189-999,45180000,45189999,Não codificada por logradouros,Total do município
BA,Bahia,Andaraí,46830-000 a 46834-999,46830000,46834999,Não codificada por logradouros,Total do município
BA,Bahia,Andorinha,48990-000 a 48999-999,48990000,48999999,Não codificada por logradouros,Total do município
BA,Bahia,Angical,47960-000 a 47969-999,47960000,47969999,Não codificada por logradouros,Total do município
BA,Bahia,Anguera,44670-000 a 44679-999,44670000,44679999,Não codificada por logradouros,Total do município
BA,Bahia,Antas,48420-000 a 48429-999,48420000,48429999,Não codificada por logradouros,Total do município
BA,Bahia,Antônio Cardoso,44180-000 a 44189-999,44180000,44189999,Não codificada por logradouros,Total do município
BA,Bahia,Antônio Gonçalves,44780-000 a 44789-999,44780000,44789999,Não codificada por logradouros,Total do município
BA,Bahia,Aporá,48350-000 a 48359-999,48350000,48359999,Não codificada por logradouros,Total do município
BA,Bahia,Apuarema,45355-000 a 45359-999,45355000,45359999,Não codificada por logradouros,Total do município
BA,Bahia,Araçás,48108-000 a 48109-999,48108000,48109999,Não codificada por logradouros,Total do município
BA,Bahia,Aracatu,46130-000 a 46139-999,46130000,46139999,Não codificada por logradouros,Total do município
BA,Bahia,Araci,48760-000 a 48769-999,48760000,48769999,Não codificada por logradouros,Total do município
BA,Bahia,Aramari,48130-000 a 48139-999,48130000,48139999,Não codificada por logradouros,Total do município
BA,Bahia,Arataca,45695-000 a 45699-999,45695000,45699999,Não codificada por logradouros,Total do município
BA,Bahia,Aratuípe,44490-000 a 44499-999,44490000,44499999,Não codificada por logradouros,Total do município
BA,Bahia,Aurelino Leal,45675-000 a 45679-999,45675000,45679999,Não codificada por logradouros,Total do município
BA,Bahia,Baianópolis,47830-000 a 47844-999,47830000,47844999,Não codificada por logradouros,Total do município
BA,Bahia,Baixa Grande,44620-000 a 44629-999,44620000,44629999,Não codificada por logradouros,Total do município
BA,Bahia,Banzaê,48405-000 a 48409-999,48405000,48409999,Não codificada por logradouros,Total do município
BA,Bahia,Barra,47100-000 a 47114-999,47100000,47114999,Não codificada por logradouros,Total do município
BA,Bahia,Barra da Estiva,46650-000 a 46669-999,46650000,46669999,Não codificada por logradouros,Total do município
BA,Bahia,Barra do Choça,45120-000 a 45129-999,45120000,45129999,Não codificada por logradouros,Total do município
BA,Bahia,Barra do Mendes,44990-000 a 44999-999,44990000,44999999,Não codificada por logradouros,Total do município
BA,Bahia,Barra do Rocha,45560-000 a 45569-999,45560000,45569999,Não codificada por logradouros,Total do município
BA,Bahia,Barreiras,47800-001 a 47819-999,47800001,47819999,Codificado por logradouros,Total do município
BA,Bahia,Barreiras,47800-001 a 47819-999,47800001,47819999,Codificada por logradouros,Exclusiva da sede urbana
BA,Bahia,Barro Alto,44895-000 a 44899-999,44895000,44899999,Não codificada por logradouros,Total do município
BA,Bahia,Barro Preto,45625-000 a 45629-999,45625000,45629999,Não codificada por logradouros,Total do município
BA,Bahia,Barrocas,48705-000 a 48709-999,48705000,48709999,Não codificada por logradouros,Total do município
BA,Bahia,Belmonte,45800-000 a 45806-999,45800000,45806999,Não codificada por logradouros,Total do município
BA,Bahia,Belo Campo,45160-000 a 45169-999,45160000,45169999,Não codificada por logradouros,Total do município
BA,Bahia,Biritinga,48780-000 a 48789-999,48780000,48789999,Não codificada por logradouros,Total do município
BA,Bahia,Boa Nova,45250-000 a 45254-999,45250000,45254999,Não codificada por logradouros,Total do município
BA,Bahia,Boa Vista do Tupim,46850-000 a 46859-999,46850000,46859999,Não codificada por logradouros,Total do município
BA,Bahia,Bom Jesus da Lapa,47600-000 a 47609-999,47600000,47609999,Não codificada por logradouros,Total do município
BA,Bahia,Bom Jesus da Serra,45263-000 a 45264-999,45263000,45264999,Não codificada por logradouros,Total do município
BA,Bahia,Boninal,46740-000 a 46749-999,46740000,46749999,Não codificada por logradouros,Total do município
BA,Bahia,Bonito,46820-000 a 46824-999,46820000,46824999,Não codificada por logradouros,Total do município
